date,min_lat,max_lat,min_lon,max_lon,avg_brightness,avg_confidence
2021-08-27 09:41,46.7816,47.9784,-120.9423,-120.3362,312.59999999999997,72.66666666666667
2021-08-27 09:42,42.6904,43.1018,-122.7986,-111.582,309.0,63.6
2021-08-27 09:43,40.0006,41.6126,-123.4402,-120.6612,317.95227272727266,74.70454545454545
2021-08-27 09:44,35.6517,38.8094,-120.6316,-118.5281,324.2805555555556,73.13888888888889
2021-08-27 14:36,52.0772,52.0846,-176.1337,-176.1237,316.55,91.0
2021-08-27 15:46,41.6038,42.7982,-71.5818,-71.1339,316.58000000000004,56.0
2021-08-27 15:47,39.9094,39.9094,-74.0805,-74.0805,312.8,44.0
2021-08-27 15:48,35.1722,37.1997,-80.2405,-76.5926,316.04999999999995,53.5
2021-08-27 15:49,31.8601,34.8527,-81.7894,-80.2205,330.4666666666667,80.66666666666667
2021-08-27 17:26,36.391,40.3475,-100.8796,-87.8653,318.8941176470588,57.411764705882355
2021-08-27 17:27,33.0186,37.9568,-102.3075,-90.8446,326.65909090909093,68.5909090909091
2021-08-27 17:28,31.5638,32.913,-100.6473,-91.8698,329.4058823529412,70.58823529411765
2021-08-27 17:29,26.8987,29.5111,-100.0854,-98.7354,325.74000000000007,57.6
2021-08-27 17:32,44.1217,44.1217,-74.4104,-74.4104,301.3,30.0
2021-08-27 19:03,44.5426,46.7872,-122.0631,-115.3174,340.7642857142858,75.57142857142857
2021-08-27 19:04,40.864,44.0049,-123.4997,-121.9203,332.328125,73.22916666666667
2021-08-27 19:05,37.2721,40.8751,-123.2756,-116.1841,345.3980198019802,76.43564356435644
2021-08-27 19:06,35.6483,36.3438,-118.6219,-118.5296,358.5736842105263,86.15789473684211
2021-08-27 19:07,29.3259,34.1077,-99.3703,-82.2859,326.98823529411766,71.5
2021-08-27 19:08,33.4395,36.8261,-93.5132,-86.5806,320.3888888888889,51.94444444444444
2021-08-27 19:09,38.6976,41.6313,-96.1627,-87.1411,319.2571428571428,52.857142857142854
2021-08-27 19:10,39.6042,39.6047,-100.8852,-100.8809,332.1,81.5
2021-08-27 20:47,35.646,37.2912,-118.6331,-116.1791,362.9263157894737,88.6842105263158
2021-08-27 20:48,38.609,40.6182,-121.3859,-120.1831,354.9,78.4054054054054
2021-08-27 20:49,40.5994,44.5345,-123.4402,-111.5875,330.70599999999996,71.82
2021-08-27 20:50,45.4447,46.9116,-121.2475,-115.802,339.6392857142858,74.17857142857143
2021-08-28 02:52,40.3895,40.3895,-79.8595,-79.8595,303.3,54.0
2021-08-28 02:53,41.4585,41.4585,-81.6712,-81.6712,303.9,57.0
2021-08-28 04:28,31.3499,31.3499,-96.1682,-96.1682,306.2,67.0
2021-08-28 04:29,32.2865,35.9352,-101.7515,-89.7182,306.775,66.25
2021-08-28 04:30,36.7188,36.7188,-92.5899,-92.5899,303.7,56.0
2021-08-28 04:32,44.1578,44.1578,-96.3087,-96.3087,305.7,65.0
2021-08-28 06:08,35.6543,35.7552,-118.6363,-118.5562,321.9764705882353,75.94117647058823
2021-08-28 06:09,36.3082,38.8051,-120.6503,-116.1599,326.1032967032967,71.3956043956044
2021-08-28 06:10,39.9793,43.1722,-123.506,-120.658,327.4600917431192,79.35779816513761
2021-08-28 06:11,43.4135,46.9123,-122.6748,-115.8122,314.12592592592597,64.70370370370371
2021-08-28 07:09,40.3996,40.3996,-79.8518,-79.8518,313.9,88.0
2021-08-28 07:11,33.0178,33.0178,-79.8785,-79.8785,312.3,85.0
2021-08-28 08:45,48.0407,48.0407,-102.8624,-102.8624,300.5,28.0
2021-08-28 08:48,38.2188,38.2188,-99.4795,-99.4795,319.6,99.0
2021-08-28 08:50,32.295,32.295,-101.7441,-101.7441,307.3,71.0
2021-08-28 10:24,46.7322,46.8028,-121.2346,-120.9202,314.78888888888895,50.666666666666664
2021-08-28 10:25,42.8905,44.8574,-122.7991,-122.0263,312.65,61.833333333333336
2021-08-28 10:26,38.6039,41.6121,-123.499,-120.1233,321.058152173913,72.36413043478261
